n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
48,1,31,1, 1000000
48,2,19,1, 1000000
48,3,10,1, 1000000
48,4,7,1, 1000000
48,5,6,1, 1000000
48,6,5,1, 1000000
48,7,4,1, 1000000
48,8,4,1, 1000000
48,9,4,1, 1000000
48,10,3,1, 1000000
48,11,3,1, 1000000
48,12,3,1, 1000000
48,13,3,1, 1000000
48,14,2,1, 1000000
48,15,2,1, 1000000
48,16,2,1, 1000000
48,17,2,1, 1000000
48,18,2,1, 1000000
48,19,2,1, 1000000
48,20,2,1, 1000000
48,21,2,1, 1000000
48,22,1,1, 1000000
48,23,1,1, 1000000
48,24,1,1, 1000000
48,25,1,1, 1000000
48,26,1,1, 1000000
48,27,1,1, 1000000
48,28,1,1, 1000000
48,29,1,1, 1000000
48,30,1,1, 1000000
48,31,1,1, 1000000
48,32,1,1, 1000000
48,33,1,1, 1000000
48,34,1,1, 1000000
48,35,1,1, 1000000
48,36,1,1, 1000000
48,37,1,1, 1000000
48,38,1,1, 1000000
48,39,1,1, 1000000
48,40,1,1, 1000000
48,41,1,1, 1000000
48,42,1,1, 1000000
48,43,1,1, 1000000
48,44,1,1, 1000000
48,45,1,1, 1000000
48,46,1,1, 1000000
48,47,1,1, 1000000
48,48,1,1, 1000000
48,49,1,1, 1000000
48,1,27,2, 1000000
48,2,12,2, 1000000
48,3,8,2, 1000000
48,4,6,2, 1000000
48,5,5,2, 1000000
48,6,4,2, 1000000
48,7,4,2, 1000000
48,8,4,2, 1000000
48,9,4,2, 1000000
48,10,4,2, 1000000
48,11,3,2, 1000000
48,12,3,2, 1000000
48,13,2,2, 1000000
48,14,2,2, 1000000
48,15,2,2, 1000000
48,16,2,2, 1000000
48,17,2,2, 1000000
48,18,2,2, 1000000
48,19,2,2, 1000000
48,20,2,2, 1000000
48,21,2,2, 1000000
48,22,1,2, 1000000
48,23,1,2, 1000000
48,24,1,2, 1000000
48,25,1,2, 1000000
48,26,1,2, 1000000
48,27,1,2, 1000000
48,28,1,2, 1000000
48,29,1,2, 1000000
48,30,1,2, 1000000
48,31,2,2, 1000000
48,32,1,2, 1000000
48,33,1,2, 1000000
48,34,1,2, 1000000
48,35,1,2, 1000000
48,36,1,2, 1000000
48,37,1,2, 1000000
48,38,1,2, 1000000
48,39,1,2, 1000000
48,40,1,2, 1000000
48,41,1,2, 1000000
48,42,1,2, 1000000
48,43,1,2, 1000000
48,44,1,2, 1000000
48,45,1,2, 1000000
48,46,1,2, 1000000
48,47,1,2, 1000000
48,48,57,2, 1000000
48,49,10,2, 1000000
48,1,39,3, 1000000
48,2,14,3, 1000000
48,3,8,3, 1000000
48,4,6,3, 1000000
48,5,5,3, 1000000
48,6,4,3, 1000000
48,7,4,3, 1000000
48,8,3,3, 1000000
48,9,3,3, 1000000
48,10,3,3, 1000000
48,11,2,3, 1000000
48,12,2,3, 1000000
48,13,2,3, 1000000
48,14,2,3, 1000000
48,15,2,3, 1000000
48,16,1,3, 1000000
48,17,1,3, 1000000
48,18,1,3, 1000000
48,19,1,3, 1000000
48,20,1,3, 1000000
48,21,1,3, 1000000
48,22,1,3, 1000000
48,23,1,3, 1000000
48,24,1,3, 1000000
48,25,1,3, 1000000
48,26,1,3, 1000000
48,27,1,3, 1000000
48,28,1,3, 1000000
48,29,1,3, 1000000
48,30,1,3, 1000000
48,31,1,3, 1000000
48,32,0,3, 1000000
48,33,1,3, 1000000
48,34,1,3, 1000000
48,35,1,3, 1000000
48,36,1,3, 1000000
48,37,1,3, 1000000
48,38,1,3, 1000000
48,39,1,3, 1000000
48,40,1,3, 1000000
48,41,1,3, 1000000
48,42,1,3, 1000000
48,43,1,3, 1000000
48,44,1,3, 1000000
48,45,1,3, 1000000
48,46,1,3, 1000000
48,47,1,3, 1000000
48,48,1,3, 1000000
48,49,1,3, 1000000
48,1,28,4, 1000000
48,2,12,4, 1000000
48,3,8,4, 1000000
48,4,6,4, 1000000
48,5,5,4, 1000000
48,6,4,4, 1000000
48,7,4,4, 1000000
48,8,3,4, 1000000
48,9,3,4, 1000000
48,10,3,4, 1000000
48,11,2,4, 1000000
48,12,2,4, 1000000
48,13,2,4, 1000000
48,14,2,4, 1000000
48,15,2,4, 1000000
48,16,1,4, 1000000
48,17,2,4, 1000000
48,18,1,4, 1000000
48,19,1,4, 1000000
48,20,1,4, 1000000
48,21,1,4, 1000000
48,22,1,4, 1000000
48,23,1,4, 1000000
48,24,1,4, 1000000
48,25,1,4, 1000000
48,26,1,4, 1000000
48,27,1,4, 1000000
48,28,1,4, 1000000
48,29,1,4, 1000000
48,30,1,4, 1000000
48,31,1,4, 1000000
48,32,1,4, 1000000
48,33,1,4, 1000000
48,34,0,4, 1000000
48,35,1,4, 1000000
48,36,1,4, 1000000
48,37,1,4, 1000000
48,38,1,4, 1000000
48,39,0,4, 1000000
48,40,1,4, 1000000
48,41,1,4, 1000000
48,42,1,4, 1000000
48,43,1,4, 1000000
48,44,1,4, 1000000
48,45,1,4, 1000000
48,46,1,4, 1000000
48,47,1,4, 1000000
48,48,1,4, 1000000
48,49,1,4, 1000000
48,1,37,5, 1000000
48,2,14,5, 1000000
48,3,9,5, 1000000
48,4,7,5, 1000000
48,5,5,5, 1000000
48,6,5,5, 1000000
48,7,4,5, 1000000
48,8,3,5, 1000000
48,9,3,5, 1000000
48,10,3,5, 1000000
48,11,2,5, 1000000
48,12,3,5, 1000000
48,13,2,5, 1000000
48,14,2,5, 1000000
48,15,2,5, 1000000
48,16,2,5, 1000000
48,17,2,5, 1000000
48,18,2,5, 1000000
48,19,2,5, 1000000
48,20,2,5, 1000000
48,21,2,5, 1000000
48,22,1,5, 1000000
48,23,2,5, 1000000
48,24,1,5, 1000000
48,25,2,5, 1000000
48,26,1,5, 1000000
48,27,2,5, 1000000
48,28,2,5, 1000000
48,29,2,5, 1000000
48,30,2,5, 1000000
48,31,2,5, 1000000
48,32,1,5, 1000000
48,33,1,5, 1000000
48,34,1,5, 1000000
48,35,1,5, 1000000
48,36,1,5, 1000000
48,37,1,5, 1000000
48,38,1,5, 1000000
48,39,1,5, 1000000
48,40,1,5, 1000000
48,41,1,5, 1000000
48,42,1,5, 1000000
48,43,1,5, 1000000
48,44,1,5, 1000000
48,45,1,5, 1000000
48,46,1,5, 1000000
48,47,1,5, 1000000
48,48,1,5, 1000000
48,49,1,5, 1000000
48,1,33,6, 1000000
48,2,12,6, 1000000
48,3,8,6, 1000000
48,4,6,6, 1000000
48,5,78,6, 1000000
48,6,4,6, 1000000
48,7,4,6, 1000000
48,8,3,6, 1000000
48,9,3,6, 1000000
48,10,3,6, 1000000
48,11,43,6, 1000000
48,12,2,6, 1000000
48,13,2,6, 1000000
48,14,2,6, 1000000
48,15,2,6, 1000000
48,16,1,6, 1000000
48,17,1,6, 1000000
48,18,1,6, 1000000
48,19,1,6, 1000000
48,20,1,6, 1000000
48,21,1,6, 1000000
48,22,1,6, 1000000
48,23,1,6, 1000000
48,24,1,6, 1000000
48,25,1,6, 1000000
48,26,1,6, 1000000
48,27,1,6, 1000000
48,28,1,6, 1000000
48,29,1,6, 1000000
48,30,1,6, 1000000
48,31,1,6, 1000000
48,32,1,6, 1000000
48,33,1,6, 1000000
48,34,1,6, 1000000
48,35,1,6, 1000000
48,36,1,6, 1000000
48,37,1,6, 1000000
48,38,1,6, 1000000
48,39,1,6, 1000000
48,40,1,6, 1000000
48,41,1,6, 1000000
48,42,1,6, 1000000
48,43,1,6, 1000000
48,44,1,6, 1000000
48,45,1,6, 1000000
48,46,1,6, 1000000
48,47,1,6, 1000000
48,48,1,6, 1000000
48,49,1,6, 1000000
48,1,65,7, 1000000
48,2,13,7, 1000000
48,3,8,7, 1000000
48,4,6,7, 1000000
48,5,8,7, 1000000
48,6,7,7, 1000000
48,7,75,7, 1000000
48,8,5,7, 1000000
48,9,5,7, 1000000
48,10,4,7, 1000000
48,11,3,7, 1000000
48,12,4,7, 1000000
48,13,3,7, 1000000
48,14,3,7, 1000000
48,15,3,7, 1000000
48,16,3,7, 1000000
48,17,3,7, 1000000
48,18,2,7, 1000000
48,19,2,7, 1000000
48,20,2,7, 1000000
48,21,2,7, 1000000
48,22,2,7, 1000000
48,23,2,7, 1000000
48,24,2,7, 1000000
48,25,2,7, 1000000
48,26,2,7, 1000000
48,27,2,7, 1000000
48,28,2,7, 1000000
48,29,2,7, 1000000
48,30,2,7, 1000000
48,31,2,7, 1000000
48,32,1,7, 1000000
48,33,1,7, 1000000
48,34,1,7, 1000000
48,35,1,7, 1000000
48,36,1,7, 1000000
48,37,1,7, 1000000
48,38,1,7, 1000000
48,39,1,7, 1000000
48,40,1,7, 1000000
48,41,1,7, 1000000
48,42,1,7, 1000000
48,43,1,7, 1000000
48,44,1,7, 1000000
48,45,1,7, 1000000
48,46,1,7, 1000000
48,47,1,7, 1000000
48,48,1,7, 1000000
48,49,1,7, 1000000
48,1,63,8, 1000000
48,2,14,8, 1000000
48,3,17,8, 1000000
48,4,39,8, 1000000
48,5,48,8, 1000000
48,6,4,8, 1000000
48,7,4,8, 1000000
48,8,3,8, 1000000
48,9,4,8, 1000000
48,10,4,8, 1000000
48,11,4,8, 1000000
48,12,3,8, 1000000
48,13,3,8, 1000000
48,14,3,8, 1000000
48,15,3,8, 1000000
48,16,2,8, 1000000
48,17,2,8, 1000000
48,18,3,8, 1000000
48,19,2,8, 1000000
48,20,2,8, 1000000
48,21,2,8, 1000000
48,22,2,8, 1000000
48,23,2,8, 1000000
48,24,2,8, 1000000
48,25,2,8, 1000000
48,26,2,8, 1000000
48,27,2,8, 1000000
48,28,2,8, 1000000
48,29,2,8, 1000000
48,30,2,8, 1000000
48,31,2,8, 1000000
48,32,1,8, 1000000
48,33,1,8, 1000000
48,34,1,8, 1000000
48,35,1,8, 1000000
48,36,1,8, 1000000
48,37,1,8, 1000000
48,38,1,8, 1000000
48,39,1,8, 1000000
48,40,1,8, 1000000
48,41,1,8, 1000000
48,42,1,8, 1000000
48,43,1,8, 1000000
48,44,1,8, 1000000
48,45,1,8, 1000000
48,46,1,8, 1000000
48,47,1,8, 1000000
48,48,1,8, 1000000
48,49,1,8, 1000000
48,1,27,9, 1000000
48,2,12,9, 1000000
48,3,8,9, 1000000
48,4,35,9, 1000000
48,5,40,9, 1000000
48,6,4,9, 1000000
48,7,4,9, 1000000
48,8,3,9, 1000000
48,9,3,9, 1000000
48,10,3,9, 1000000
48,11,2,9, 1000000
48,12,2,9, 1000000
48,13,2,9, 1000000
48,14,2,9, 1000000
48,15,2,9, 1000000
48,16,2,9, 1000000
48,17,1,9, 1000000
48,18,1,9, 1000000
48,19,1,9, 1000000
48,20,1,9, 1000000
48,21,2,9, 1000000
48,22,1,9, 1000000
48,23,1,9, 1000000
48,24,1,9, 1000000
48,25,2,9, 1000000
48,26,2,9, 1000000
48,27,1,9, 1000000
48,28,1,9, 1000000
48,29,2,9, 1000000
48,30,1,9, 1000000
48,31,2,9, 1000000
48,32,1,9, 1000000
48,33,1,9, 1000000
48,34,1,9, 1000000
48,35,1,9, 1000000
48,36,1,9, 1000000
48,37,1,9, 1000000
48,38,1,9, 1000000
48,39,1,9, 1000000
48,40,1,9, 1000000
48,41,1,9, 1000000
48,42,1,9, 1000000
48,43,1,9, 1000000
48,44,1,9, 1000000
48,45,1,9, 1000000
48,46,1,9, 1000000
48,47,1,9, 1000000
48,48,1,9, 1000000
48,49,1,9, 1000000
48,1,33,10, 1000000
48,2,12,10, 1000000
48,3,46,10, 1000000
48,4,44,10, 1000000
48,5,85,10, 1000000
48,6,4,10, 1000000
48,7,4,10, 1000000
48,8,3,10, 1000000
48,9,3,10, 1000000
48,10,3,10, 1000000
48,11,2,10, 1000000
48,12,2,10, 1000000
48,13,2,10, 1000000
48,14,2,10, 1000000
48,15,2,10, 1000000
48,16,1,10, 1000000
48,17,2,10, 1000000
48,18,2,10, 1000000
48,19,1,10, 1000000
48,20,1,10, 1000000
48,21,2,10, 1000000
48,22,1,10, 1000000
48,23,1,10, 1000000
48,24,1,10, 1000000
48,25,1,10, 1000000
48,26,1,10, 1000000
48,27,1,10, 1000000
48,28,1,10, 1000000
48,29,1,10, 1000000
48,30,1,10, 1000000
48,31,1,10, 1000000
48,32,1,10, 1000000
48,33,1,10, 1000000
48,34,1,10, 1000000
48,35,1,10, 1000000
48,36,1,10, 1000000
48,37,1,10, 1000000
48,38,1,10, 1000000
48,39,1,10, 1000000
48,40,1,10, 1000000
48,41,1,10, 1000000
48,42,0,10, 1000000
48,43,1,10, 1000000
48,44,1,10, 1000000
48,45,1,10, 1000000
48,46,1,10, 1000000
48,47,1,10, 1000000
48,48,1,10, 1000000
48,49,1,10, 1000000
