n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
10,1,61,1, 1000000
10,2,76,1, 1000000
10,3,17,1, 1000000
10,4,13,1, 1000000
10,5,11,1, 1000000
10,6,11,1, 1000000
10,7,9,1, 1000000
10,8,7,1, 1000000
10,9,8,1, 1000000
10,10,7,1, 1000000
10,11,6,1, 1000000
10,1,72,2, 1000000
10,2,25,2, 1000000
10,3,12,2, 1000000
10,4,9,2, 1000000
10,5,8,2, 1000000
10,6,7,2, 1000000
10,7,7,2, 1000000
10,8,5,2, 1000000
10,9,5,2, 1000000
10,10,5,2, 1000000
10,11,5,2, 1000000
10,1,46,3, 1000000
10,2,26,3, 1000000
10,3,14,3, 1000000
10,4,11,3, 1000000
10,5,9,3, 1000000
10,6,8,3, 1000000
10,7,8,3, 1000000
10,8,6,3, 1000000
10,9,6,3, 1000000
10,10,5,3, 1000000
10,11,5,3, 1000000
10,1,38,4, 1000000
10,2,19,4, 1000000
10,3,18,4, 1000000
10,4,12,4, 1000000
10,5,9,4, 1000000
10,6,8,4, 1000000
10,7,8,4, 1000000
10,8,6,4, 1000000
10,9,4,4, 1000000
10,10,3,4, 1000000
10,11,3,4, 1000000
10,1,72,5, 1000000
10,2,66,5, 1000000
10,3,18,5, 1000000
10,4,14,5, 1000000
10,5,12,5, 1000000
10,6,10,5, 1000000
10,7,9,5, 1000000
10,8,8,5, 1000000
10,9,8,5, 1000000
10,10,7,5, 1000000
10,11,6,5, 1000000
10,1,31,6, 1000000
10,2,14,6, 1000000
10,3,10,6, 1000000
10,4,7,6, 1000000
10,5,6,6, 1000000
10,6,5,6, 1000000
10,7,8,6, 1000000
10,8,6,6, 1000000
10,9,6,6, 1000000
10,10,5,6, 1000000
10,11,4,6, 1000000
10,1,46,7, 1000000
10,2,22,7, 1000000
10,3,25,7, 1000000
10,4,12,7, 1000000
10,5,9,7, 1000000
10,6,7,7, 1000000
10,7,7,7, 1000000
10,8,6,7, 1000000
10,9,6,7, 1000000
10,10,5,7, 1000000
10,11,4,7, 1000000
10,1,54,8, 1000000
10,2,28,8, 1000000
10,3,13,8, 1000000
10,4,9,8, 1000000
10,5,8,8, 1000000
10,6,7,8, 1000000
10,7,6,8, 1000000
10,8,5,8, 1000000
10,9,5,8, 1000000
10,10,4,8, 1000000
10,11,4,8, 1000000
10,1,43,9, 1000000
10,2,20,9, 1000000
10,3,14,9, 1000000
10,4,11,9, 1000000
10,5,8,9, 1000000
10,6,7,9, 1000000
10,7,7,9, 1000000
10,8,6,9, 1000000
10,9,6,9, 1000000
10,10,4,9, 1000000
10,11,4,9, 1000000
10,1,53,10, 1000000
10,2,18,10, 1000000
10,3,12,10, 1000000
10,4,9,10, 1000000
10,5,7,10, 1000000
10,6,6,10, 1000000
10,7,6,10, 1000000
10,8,5,10, 1000000
10,9,5,10, 1000000
10,10,4,10, 1000000
10,11,4,10, 1000000
