s_name,repeticion,gen_time(s),sort_time(us)
quick,1,2.7145420,9
radix,1,2.7145420,8
quick,2,2.7486040,8
radix,2,2.7486040,8
quick,3,2.7566770,9
radix,3,2.7566770,10
quick,4,2.7184100,9
radix,4,2.7184100,8
quick,5,2.7198720,8
radix,5,2.7198720,7
quick,6,2.7115830,9
radix,6,2.7115830,18
quick,7,2.7312260,9
radix,7,2.7312260,8
quick,8,2.7185380,10
radix,8,2.7185380,16
quick,9,2.7123810,9
radix,9,2.7123810,9
quick,10,2.7139930,61
radix,10,2.7139930,10
quick,11,2.7153490,9
radix,11,2.7153490,9
quick,12,2.7070870,9
radix,12,2.7070870,7
quick,13,2.6981230,10
radix,13,2.6981230,11
quick,14,2.7097930,17
radix,14,2.7097930,10
quick,15,2.7100780,9
radix,15,2.7100780,10
quick,16,2.7182670,8
radix,16,2.7182670,7
quick,17,2.7036450,21
radix,17,2.7036450,17
quick,18,2.7266130,16
radix,18,2.7266130,8
quick,19,2.7153130,9
radix,19,2.7153130,16
quick,20,2.7149630,18
radix,20,2.7149630,8
quick,21,2.7169270,18
radix,21,2.7169270,19
quick,22,2.7078570,9
radix,22,2.7078570,9
quick,23,2.7015600,9
radix,23,2.7015600,8
quick,24,2.7119560,9
radix,24,2.7119560,8
quick,25,2.7096920,9
radix,25,2.7096920,8
quick,26,2.7041180,10
radix,26,2.7041180,10
quick,27,2.7184280,10
radix,27,2.7184280,18
quick,28,2.6982340,17
radix,28,2.6982340,11
quick,29,2.7166600,9
radix,29,2.7166600,11
quick,30,2.7098180,9
radix,30,2.7098180,8
quick,31,2.7303020,17
radix,31,2.7303020,8
quick,32,2.7220960,9
radix,32,2.7220960,27
quick,33,2.7228850,17
radix,33,2.7228850,8
quick,34,2.7175710,10
radix,34,2.7175710,11
quick,35,2.7071700,19
radix,35,2.7071700,20
quick,36,2.7078060,9
radix,36,2.7078060,10
quick,37,2.6987650,9
radix,37,2.6987650,8
quick,38,2.7090370,18
radix,38,2.7090370,25
quick,39,2.7228930,9
radix,39,2.7228930,8
quick,40,2.7236490,9
radix,40,2.7236490,8
quick,41,2.7160190,8
radix,41,2.7160190,8
quick,42,2.7665080,9
radix,42,2.7665080,8
quick,43,2.7787270,9
radix,43,2.7787270,8
quick,44,2.8107320,10
radix,44,2.8107320,10
quick,45,2.7961170,9
radix,45,2.7961170,10
quick,46,2.7612870,8
radix,46,2.7612870,7
quick,47,2.7232220,9
radix,47,2.7232220,7
quick,48,2.7127150,11
radix,48,2.7127150,9
quick,49,2.7511170,86
radix,49,2.7511170,59
quick,50,2.7420320,9
radix,50,2.7420320,8
quick,51,2.7124870,8
radix,51,2.7124870,8
quick,52,2.7162950,9
radix,52,2.7162950,8
quick,53,2.7763750,10
radix,53,2.7763750,11
quick,54,2.7137070,10
radix,54,2.7137070,11
quick,55,2.7119350,9
radix,55,2.7119350,9
quick,56,2.7141590,8
radix,56,2.7141590,8
quick,57,2.7221400,11
radix,57,2.7221400,66
quick,58,2.7062730,9
radix,58,2.7062730,8
quick,59,2.6989010,9
radix,59,2.6989010,8
quick,60,2.6997840,9
radix,60,2.6997840,8
quick,61,2.6967030,17
radix,61,2.6967030,8
quick,62,2.7054470,8
radix,62,2.7054470,7
quick,63,2.7156850,8
radix,63,2.7156850,8
quick,64,2.7188190,8
radix,64,2.7188190,7
quick,65,2.7081400,9
radix,65,2.7081400,8
quick,66,2.6998790,10
radix,66,2.6998790,8
quick,67,2.6944940,9
radix,67,2.6944940,10
quick,68,2.6968230,12
radix,68,2.6968230,89
quick,69,2.6988120,8
radix,69,2.6988120,9
quick,70,2.6940660,9
radix,70,2.6940660,7
quick,71,2.7064650,10
radix,71,2.7064650,17
quick,72,2.7130650,8
radix,72,2.7130650,8
quick,73,2.7131890,15
radix,73,2.7131890,8
quick,74,2.6905000,10
radix,74,2.6905000,9
quick,75,2.7054230,9
radix,75,2.7054230,7
quick,76,2.6847670,9
radix,76,2.6847670,16
quick,77,2.7034230,9
radix,77,2.7034230,16
quick,78,2.7053280,9
radix,78,2.7053280,10
quick,79,2.7000010,9
radix,79,2.7000010,10
quick,80,2.7040000,8
radix,80,2.7040000,7
quick,81,2.7019720,8
radix,81,2.7019720,8
quick,82,2.7072490,9
radix,82,2.7072490,11
quick,83,2.7061590,9
radix,83,2.7061590,7
quick,84,2.7032600,9
radix,84,2.7032600,9
quick,85,2.6870100,10
radix,85,2.6870100,12
quick,86,2.6994270,10
radix,86,2.6994270,11
quick,87,2.6944510,9
radix,87,2.6944510,7
quick,88,2.7005530,8
radix,88,2.7005530,7
quick,89,2.6972690,9
radix,89,2.6972690,8
quick,90,2.6940860,9
radix,90,2.6940860,7
quick,91,2.7073370,9
radix,91,2.7073370,7
quick,92,2.7013750,10
radix,92,2.7013750,20
quick,93,2.7001240,9
radix,93,2.7001240,9
quick,94,3.0222830,9
radix,94,3.0222830,8
quick,95,2.9813920,10
radix,95,2.9813920,9
quick,96,3.1672810,9
radix,96,3.1672810,12
quick,97,3.0593430,10
radix,97,3.0593430,19
quick,98,2.6890360,10
radix,98,2.6890360,8
quick,99,2.6923480,18
radix,99,2.6923480,59
quick,100,2.9782240,9
radix,100,2.9782240,8
