s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,0.0000540,13, 1544173920
radix,1,0.0000540,49, 1544173920
quick,2,0.0000500,10, 1544173920
radix,2,0.0000500,45, 1544173920
quick,3,0.0000510,10, 1544173920
radix,3,0.0000510,46, 1544173920
quick,4,0.0000500,10, 1544173920
radix,4,0.0000500,46, 1544173920
quick,5,0.0000500,11, 1544173920
radix,5,0.0000500,45, 1544173920
quick,6,0.0000490,10, 1544173920
radix,6,0.0000490,46, 1544173920
quick,7,0.0000500,10, 1544173920
radix,7,0.0000500,46, 1544173920
quick,8,0.0000500,11, 1544173920
radix,8,0.0000500,45, 1544173920
quick,9,0.0000500,15, 1544173920
radix,9,0.0000500,46, 1544173920
quick,10,0.0000500,12, 1544173920
radix,10,0.0000500,45, 1544173920
quick,11,0.0000490,11, 1544173920
radix,11,0.0000490,53, 1544173920
quick,12,0.0000500,11, 1544173920
radix,12,0.0000500,46, 1544173920
quick,13,0.0000500,11, 1544173920
radix,13,0.0000500,79, 1544173920
quick,14,0.0000530,11, 1544173920
radix,14,0.0000530,48, 1544173920
quick,15,0.0000520,11, 1544173920
radix,15,0.0000520,65, 1544173920
quick,16,0.0000540,11, 1544173920
radix,16,0.0000540,48, 1544173920
quick,17,0.0000520,11, 1544173920
radix,17,0.0000520,49, 1544173920
quick,18,0.0000520,11, 1544173920
radix,18,0.0000520,47, 1544173920
quick,19,0.0000530,11, 1544173920
radix,19,0.0000530,46, 1544173920
quick,20,0.0000520,11, 1544173920
radix,20,0.0000520,48, 1544173920
quick,21,0.0000540,11, 1544173920
radix,21,0.0000540,48, 1544173920
quick,22,0.0000810,11, 1544173920
radix,22,0.0000810,50, 1544173920
quick,23,0.0000510,10, 1544173920
radix,23,0.0000510,47, 1544173920
quick,24,0.0000520,11, 1544173920
radix,24,0.0000520,48, 1544173920
quick,25,0.0000500,11, 1544173920
radix,25,0.0000500,45, 1544173920
quick,26,0.0000510,11, 1544173920
radix,26,0.0000510,47, 1544173920
quick,27,0.0000500,10, 1544173920
radix,27,0.0000500,46, 1544173920
quick,28,0.0000500,11, 1544173920
radix,28,0.0000500,48, 1544173920
quick,29,0.0000520,11, 1544173920
radix,29,0.0000520,79, 1544173920
quick,30,0.0000500,11, 1544173920
radix,30,0.0000500,46, 1544173920
quick,31,0.0000500,11, 1544173920
radix,31,0.0000500,44, 1544173920
quick,32,0.0000480,10, 1544173920
radix,32,0.0000480,45, 1544173920
quick,33,0.0000490,10, 1544173920
radix,33,0.0000490,47, 1544173920
quick,34,0.0000510,11, 1544173920
radix,34,0.0000510,49, 1544173920
quick,35,0.0000540,11, 1544173920
radix,35,0.0000540,50, 1544173920
quick,36,0.0000510,11, 1544173920
radix,36,0.0000510,43, 1544173920
quick,37,0.0000470,10, 1544173920
radix,37,0.0000470,43, 1544173920
quick,38,0.0000490,10, 1544173920
radix,38,0.0000490,46, 1544173920
quick,39,0.0000470,10, 1544173920
radix,39,0.0000470,44, 1544173920
quick,40,0.0000480,10, 1544173920
radix,40,0.0000480,45, 1544173920
quick,41,0.0000490,10, 1544173920
radix,41,0.0000490,45, 1544173920
quick,42,0.0000520,11, 1544173920
radix,42,0.0000520,46, 1544173920
quick,43,0.0000530,10, 1544173920
radix,43,0.0000530,46, 1544173920
quick,44,0.0000570,12, 1544173920
radix,44,0.0000570,48, 1544173920
quick,45,0.0000510,11, 1544173920
radix,45,0.0000510,47, 1544173920
quick,46,0.0000830,11, 1544173920
radix,46,0.0000830,45, 1544173920
quick,47,0.0000520,11, 1544173920
radix,47,0.0000520,49, 1544173920
quick,48,0.0000530,11, 1544173920
radix,48,0.0000530,47, 1544173920
quick,49,0.0000530,11, 1544173920
radix,49,0.0000530,46, 1544173920
quick,50,0.0000520,11, 1544173920
radix,50,0.0000520,48, 1544173920
quick,51,0.0000530,11, 1544173920
radix,51,0.0000530,46, 1544173920
quick,52,0.0000780,11, 1544173920
radix,52,0.0000780,43, 1544173920
quick,53,0.0000480,10, 1544173920
radix,53,0.0000480,43, 1544173920
quick,54,0.0000470,10, 1544173920
radix,54,0.0000470,44, 1544173920
quick,55,0.0000480,9, 1544173920
radix,55,0.0000480,42, 1544173920
quick,56,0.0000530,9, 1544173920
radix,56,0.0000530,39, 1544173920
quick,57,0.0000420,9, 1544173920
radix,57,0.0000420,38, 1544173920
quick,58,0.0000420,9, 1544173920
radix,58,0.0000420,38, 1544173920
quick,59,0.0000410,9, 1544173920
radix,59,0.0000410,37, 1544173920
quick,60,0.0000410,9, 1544173920
radix,60,0.0000410,38, 1544173920
quick,61,0.0000440,9, 1544173920
radix,61,0.0000440,38, 1544173920
quick,62,0.0000420,9, 1544173920
radix,62,0.0000420,39, 1544173920
quick,63,0.0000420,9, 1544173920
radix,63,0.0000420,38, 1544173920
quick,64,0.0000410,9, 1544173920
radix,64,0.0000410,38, 1544173920
quick,65,0.0000420,9, 1544173920
radix,65,0.0000420,38, 1544173920
quick,66,0.0000420,9, 1544173920
radix,66,0.0000420,40, 1544173920
quick,67,0.0000410,9, 1544173920
radix,67,0.0000410,40, 1544173920
quick,68,0.0000430,9, 1544173920
radix,68,0.0000430,39, 1544173920
quick,69,0.0001040,38, 1544173920
radix,69,0.0001040,41, 1544173920
quick,70,0.0001100,37, 1544173920
radix,70,0.0001100,81, 1544173920
quick,71,0.0000540,12, 1544173920
radix,71,0.0000540,47, 1544173920
quick,72,0.0000530,12, 1544173920
radix,72,0.0000530,47, 1544173920
quick,73,0.0000530,11, 1544173920
radix,73,0.0000530,45, 1544173920
quick,74,0.0000510,11, 1544173920
radix,74,0.0000510,48, 1544173920
quick,75,0.0000530,12, 1544173920
radix,75,0.0000530,60, 1544173920
quick,76,0.0000800,17, 1544173920
radix,76,0.0000800,80, 1544173920
quick,77,0.0000830,19, 1544173920
radix,77,0.0000830,76, 1544173920
quick,78,0.0000670,17, 1544173920
radix,78,0.0000670,251, 1544173920
quick,79,0.0000750,16, 1544173920
radix,79,0.0000750,77, 1544173920
quick,80,0.0000790,17, 1544173920
radix,80,0.0000790,90, 1544173920
quick,81,0.0000870,18, 1544173920
radix,81,0.0000870,82, 1544173920
quick,82,0.0000660,12, 1544173920
radix,82,0.0000660,71, 1544173920
quick,83,0.0000800,16, 1544173920
radix,83,0.0000800,103, 1544173920
quick,84,0.0000850,17, 1544173920
radix,84,0.0000850,82, 1544173920
quick,85,0.0000720,17, 1544173920
radix,85,0.0000720,76, 1544173920
quick,86,0.0000690,17, 1544173920
radix,86,0.0000690,79, 1544173920
quick,87,0.0000730,18, 1544173920
radix,87,0.0000730,77, 1544173920
quick,88,0.0000740,17, 1544173920
radix,88,0.0000740,79, 1544173920
quick,89,0.0000750,17, 1544173920
radix,89,0.0000750,79, 1544173920
quick,90,0.0000750,16, 1544173920
radix,90,0.0000750,82, 1544173920
quick,91,0.0001070,16, 1544173920
radix,91,0.0001070,66, 1544173920
quick,92,0.0000640,16, 1544173920
radix,92,0.0000640,69, 1544173920
quick,93,0.0000700,13, 1544173920
radix,93,0.0000700,63, 1544173920
quick,94,0.0000750,16, 1544173920
radix,94,0.0000750,72, 1544173920
quick,95,0.0000740,17, 1544173920
radix,95,0.0000740,71, 1544173920
quick,96,0.0000710,18, 1544173920
radix,96,0.0000710,76, 1544173920
quick,97,0.0000870,17, 1544173920
radix,97,0.0000870,74, 1544173920
quick,98,0.0000670,16, 1544173920
radix,98,0.0000670,74, 1544173920
quick,99,0.0000700,16, 1544173920
radix,99,0.0000700,49, 1544173920
quick,100,0.0000520,11, 1544173920
radix,100,0.0000520,46, 1544173920
