s_name,repeticion,gen_time,sort_time
quick,1,3.0936330,0.000014
radix,1,3.0936330,0.000016
quick,2,3.2238080,0.000011
radix,2,3.2238080,0.000016
quick,3,3.0163720,0.000010
radix,3,3.0163720,0.000011
quick,4,3.0072850,0.000012
radix,4,3.0072850,0.000019
quick,5,3.0813660,0.000010
radix,5,3.0813660,0.000011
quick,6,3.0113830,0.000011
radix,6,3.0113830,0.000012
quick,7,3.0131190,0.000019
radix,7,3.0131190,0.000012
quick,8,3.0136000,0.000010
radix,8,3.0136000,0.000013
quick,9,3.0288960,0.000015
radix,9,3.0288960,0.000021
quick,10,3.0922620,0.000010
radix,10,3.0922620,0.000012
quick,11,3.1693500,0.000009
radix,11,3.1693500,0.000011
quick,12,3.1789200,0.000011
radix,12,3.1789200,0.000011
quick,13,2.9923260,0.000011
radix,13,2.9923260,0.000016
quick,14,3.0040980,0.000010
radix,14,3.0040980,0.000012
quick,15,3.0109530,0.000010
radix,15,3.0109530,0.000012
quick,16,3.0022330,0.000010
radix,16,3.0022330,0.000011
quick,17,2.9977690,0.000010
radix,17,2.9977690,0.000011
quick,18,3.0036590,0.000009
radix,18,3.0036590,0.000011
quick,19,3.0629390,0.000018
radix,19,3.0629390,0.000012
quick,20,3.0937130,0.000011
radix,20,3.0937130,0.000023
quick,21,3.1466680,0.000017
radix,21,3.1466680,0.000027
quick,22,3.1997340,0.000020
radix,22,3.1997340,0.000021
quick,23,3.0285590,0.000010
radix,23,3.0285590,0.000012
quick,24,3.0372930,0.000021
radix,24,3.0372930,0.000023
quick,25,3.0262870,0.000011
radix,25,3.0262870,0.000012
quick,26,3.0155710,0.000010
radix,26,3.0155710,0.000013
quick,27,3.1007980,0.000010
radix,27,3.1007980,0.000012
quick,28,3.0275140,0.000010
radix,28,3.0275140,0.000016
quick,29,3.0349130,0.000009
radix,29,3.0349130,0.000012
quick,30,3.0738120,0.000011
radix,30,3.0738120,0.000089
quick,31,3.1280400,0.000013
radix,31,3.1280400,0.000021
quick,32,3.2303540,0.000009
radix,32,3.2303540,0.000011
quick,33,3.0220840,0.000011
radix,33,3.0220840,0.000016
quick,34,3.0248610,0.000009
radix,34,3.0248610,0.000011
quick,35,3.2218600,0.000012
radix,35,3.2218600,0.000015
quick,36,3.1258820,0.000010
radix,36,3.1258820,0.000012
quick,37,3.0178560,0.000052
radix,37,3.0178560,0.000012
quick,38,3.0247450,0.000019
radix,38,3.0247450,0.000017
quick,39,3.0350820,0.000010
radix,39,3.0350820,0.000012
quick,40,3.0667190,0.000010
radix,40,3.0667190,0.000012
quick,41,3.1329680,0.000010
radix,41,3.1329680,0.000011
quick,42,3.1982120,0.000059
radix,42,3.1982120,0.000019
quick,43,3.0198280,0.000010
radix,43,3.0198280,0.000011
quick,44,3.0109370,0.000011
radix,44,3.0109370,0.000018
quick,45,3.0697250,0.000010
radix,45,3.0697250,0.000027
quick,46,3.0139960,0.000011
radix,46,3.0139960,0.000026
quick,47,2.9987090,0.000011
radix,47,2.9987090,0.000023
quick,48,3.0189290,0.000011
radix,48,3.0189290,0.000010
quick,49,3.0481360,0.000010
radix,49,3.0481360,0.000012
quick,50,3.0694140,0.000010
radix,50,3.0694140,0.000012
