n_universo,k_value,tiempo_(micro_segundos),iteracion,cantidad_valores_en_arreglo
1,1,139,1,100000000
1,2,15,1,100000000
1,1,25,2,100000000
1,2,11,2,100000000
1,1,36,3,100000000
1,2,19,3,100000000
1,1,46,4,100000000
1,2,32,4,100000000
1,1,30,5,100000000
1,2,14,5,100000000
1,1,42,6,100000000
1,2,21,6,100000000
1,1,39,7,100000000
1,2,15,7,100000000
1,1,29,8,100000000
1,2,14,8,100000000
1,1,37,9,100000000
1,2,18,9,100000000
1,1,61,10,100000000
1,2,11,10,100000000
2,1,39,1,100000000
2,2,19,1,100000000
2,3,19,1,100000000
2,1,26,2,100000000
2,2,11,2,100000000
2,3,8,2,100000000
2,1,28,3,100000000
2,2,12,3,100000000
2,3,8,3,100000000
2,1,25,4,100000000
2,2,11,4,100000000
2,3,7,4,100000000
2,1,36,5,100000000
2,2,18,5,100000000
2,3,13,5,100000000
2,1,46,6,100000000
2,2,17,6,100000000
2,3,15,6,100000000
2,1,26,7,100000000
2,2,11,7,100000000
2,3,24,7,100000000
2,1,47,8,100000000
2,2,12,8,100000000
2,3,8,8,100000000
2,1,27,9,100000000
2,2,12,9,100000000
2,3,8,9,100000000
2,1,46,10,100000000
2,2,12,10,100000000
2,3,8,10,100000000
3,1,34,1,100000000
3,2,21,1,100000000
3,3,9,1,100000000
3,4,6,1,100000000
3,1,25,2,100000000
3,2,11,2,100000000
3,3,7,2,100000000
3,4,5,2,100000000
3,1,28,3,100000000
3,2,13,3,100000000
3,3,8,3,100000000
3,4,6,3,100000000
3,1,39,4,100000000
3,2,12,4,100000000
3,3,8,4,100000000
3,4,6,4,100000000
3,1,26,5,100000000
3,2,11,5,100000000
3,3,8,5,100000000
3,4,6,5,100000000
3,1,43,6,100000000
3,2,77,6,100000000
3,3,27,6,100000000
3,4,6,6,100000000
3,1,26,7,100000000
3,2,11,7,100000000
3,3,8,7,100000000
3,4,6,7,100000000
3,1,33,8,100000000
3,2,15,8,100000000
3,3,10,8,100000000
3,4,7,8,100000000
3,1,28,9,100000000
3,2,12,9,100000000
3,3,8,9,100000000
3,4,6,9,100000000
3,1,27,10,100000000
3,2,12,10,100000000
3,3,8,10,100000000
3,4,6,10,100000000
4,1,35,1,100000000
4,2,23,1,100000000
4,3,68,1,100000000
4,4,12,1,100000000
4,5,10,1,100000000
4,1,26,2,100000000
4,2,11,2,100000000
4,3,11,2,100000000
4,4,8,2,100000000
4,5,6,2,100000000
4,1,37,3,100000000
4,2,12,3,100000000
4,3,8,3,100000000
4,4,6,3,100000000
4,5,5,3,100000000
4,1,33,4,100000000
4,2,25,4,100000000
4,3,9,4,100000000
4,4,6,4,100000000
4,5,6,4,100000000
4,1,44,5,100000000
4,2,12,5,100000000
4,3,8,5,100000000
4,4,6,5,100000000
4,5,5,5,100000000
4,1,26,6,100000000
4,2,11,6,100000000
4,3,7,6,100000000
4,4,5,6,100000000
4,5,5,6,100000000
4,1,36,7,100000000
4,2,30,7,100000000
4,3,15,7,100000000
4,4,7,7,100000000
4,5,5,7,100000000
4,1,48,8,100000000
4,2,14,8,100000000
4,3,10,8,100000000
4,4,8,8,100000000
4,5,7,8,100000000
4,1,27,9,100000000
4,2,12,9,100000000
4,3,8,9,100000000
4,4,6,9,100000000
4,5,5,9,100000000
4,1,59,10,100000000
4,2,16,10,100000000
4,3,11,10,100000000
4,4,8,10,100000000
4,5,7,10,100000000
5,1,26,1,100000000
5,2,11,1,100000000
5,3,7,1,100000000
5,4,5,1,100000000
5,5,5,1,100000000
5,6,4,1,100000000
5,1,25,2,100000000
5,2,11,2,100000000
5,3,7,2,100000000
5,4,5,2,100000000
5,5,5,2,100000000
5,6,4,2,100000000
5,1,58,3,100000000
5,2,20,3,100000000
5,3,10,3,100000000
5,4,7,3,100000000
5,5,6,3,100000000
5,6,5,3,100000000
5,1,26,4,100000000
5,2,59,4,100000000
5,3,8,4,100000000
5,4,10,4,100000000
5,5,7,4,100000000
5,6,7,4,100000000
5,1,40,5,100000000
5,2,12,5,100000000
5,3,8,5,100000000
5,4,6,5,100000000
5,5,5,5,100000000
5,6,4,5,100000000
5,1,50,6,100000000
5,2,13,6,100000000
5,3,9,6,100000000
5,4,7,6,100000000
5,5,13,6,100000000
5,6,7,6,100000000
5,1,29,7,100000000
5,2,13,7,100000000
5,3,9,7,100000000
5,4,6,7,100000000
5,5,5,7,100000000
5,6,4,7,100000000
5,1,35,8,100000000
5,2,12,8,100000000
5,3,8,8,100000000
5,4,6,8,100000000
5,5,5,8,100000000
5,6,4,8,100000000
5,1,30,9,100000000
5,2,14,9,100000000
5,3,10,9,100000000
5,4,8,9,100000000
5,5,6,9,100000000
5,6,6,9,100000000
5,1,33,10,100000000
5,2,13,10,100000000
5,3,8,10,100000000
5,4,6,10,100000000
5,5,5,10,100000000
5,6,4,10,100000000
6,1,26,1,100000000
6,2,11,1,100000000
6,3,8,1,100000000
6,4,6,1,100000000
6,5,5,1,100000000
6,6,4,1,100000000
6,7,4,1,100000000
6,1,39,2,100000000
6,2,25,2,100000000
6,3,10,2,100000000
6,4,8,2,100000000
6,5,9,2,100000000
6,6,8,2,100000000
6,7,7,2,100000000
6,1,43,3,100000000
6,2,13,3,100000000
6,3,9,3,100000000
6,4,7,3,100000000
6,5,5,3,100000000
6,6,5,3,100000000
6,7,4,3,100000000
6,1,25,4,100000000
6,2,11,4,100000000
6,3,7,4,100000000
6,4,6,4,100000000
6,5,4,4,100000000
6,6,4,4,100000000
6,7,3,4,100000000
6,1,32,5,100000000
6,2,12,5,100000000
6,3,8,5,100000000
6,4,6,5,100000000
6,5,5,5,100000000
6,6,4,5,100000000
6,7,4,5,100000000
6,1,28,6,100000000
6,2,12,6,100000000
6,3,8,6,100000000
6,4,6,6,100000000
6,5,5,6,100000000
6,6,4,6,100000000
6,7,4,6,100000000
6,1,35,7,100000000
6,2,16,7,100000000
6,3,11,7,100000000
6,4,7,7,100000000
6,5,5,7,100000000
6,6,5,7,100000000
6,7,4,7,100000000
6,1,38,8,100000000
6,2,17,8,100000000
6,3,12,8,100000000
6,4,9,8,100000000
6,5,23,8,100000000
6,6,5,8,100000000
6,7,5,8,100000000
6,1,68,9,100000000
6,2,34,9,100000000
6,3,22,9,100000000
6,4,17,9,100000000
6,5,19,9,100000000
6,6,14,9,100000000
6,7,36,9,100000000
6,1,25,10,100000000
6,2,11,10,100000000
6,3,8,10,100000000
6,4,5,10,100000000
6,5,4,10,100000000
6,6,4,10,100000000
6,7,3,10,100000000
7,1,26,1,100000000
7,2,11,1,100000000
7,3,8,1,100000000
7,4,6,1,100000000
7,5,22,1,100000000
7,6,4,1,100000000
7,7,4,1,100000000
7,8,3,1,100000000
7,1,30,2,100000000
7,2,13,2,100000000
7,3,9,2,100000000
7,4,7,2,100000000
7,5,5,2,100000000
7,6,4,2,100000000
7,7,4,2,100000000
7,8,3,2,100000000
7,1,26,3,100000000
7,2,11,3,100000000
7,3,7,3,100000000
7,4,22,3,100000000
7,5,5,3,100000000
7,6,4,3,100000000
7,7,4,3,100000000
7,8,3,3,100000000
7,1,27,4,100000000
7,2,12,4,100000000
7,3,8,4,100000000
7,4,6,4,100000000
7,5,23,4,100000000
7,6,4,4,100000000
7,7,4,4,100000000
7,8,3,4,100000000
7,1,57,5,100000000
7,2,14,5,100000000
7,3,10,5,100000000
7,4,7,5,100000000
7,5,6,5,100000000
7,6,5,5,100000000
7,7,4,5,100000000
7,8,4,5,100000000
7,1,53,6,100000000
7,2,18,6,100000000
7,3,11,6,100000000
7,4,8,6,100000000
7,5,6,6,100000000
7,6,5,6,100000000
7,7,5,6,100000000
7,8,4,6,100000000
7,1,25,7,100000000
7,2,11,7,100000000
7,3,8,7,100000000
7,4,5,7,100000000
7,5,5,7,100000000
7,6,4,7,100000000
7,7,3,7,100000000
7,8,3,7,100000000
7,1,32,8,100000000
7,2,23,8,100000000
7,3,14,8,100000000
7,4,8,8,100000000
7,5,5,8,100000000
7,6,4,8,100000000
7,7,4,8,100000000
7,8,3,8,100000000
7,1,35,9,100000000
7,2,105,9,100000000
7,3,65,9,100000000
7,4,75,9,100000000
7,5,6,9,100000000
7,6,5,9,100000000
7,7,5,9,100000000
7,8,4,9,100000000
7,1,25,10,100000000
7,2,11,10,100000000
7,3,12,10,100000000
7,4,8,10,100000000
7,5,7,10,100000000
7,6,4,10,100000000
7,7,45,10,100000000
7,8,3,10,100000000
8,1,41,1,100000000
8,2,22,1,100000000
8,3,9,1,100000000
8,4,6,1,100000000
8,5,5,1,100000000
8,6,4,1,100000000
8,7,4,1,100000000
8,8,3,1,100000000
8,9,3,1,100000000
8,1,64,2,100000000
8,2,12,2,100000000
8,3,9,2,100000000
8,4,6,2,100000000
8,5,5,2,100000000
8,6,4,2,100000000
8,7,4,2,100000000
8,8,3,2,100000000
8,9,3,2,100000000
8,1,37,3,100000000
8,2,13,3,100000000
8,3,9,3,100000000
8,4,7,3,100000000
8,5,6,3,100000000
8,6,5,3,100000000
8,7,4,3,100000000
8,8,3,3,100000000
8,9,3,3,100000000
8,1,25,4,100000000
8,2,11,4,100000000
8,3,7,4,100000000
8,4,5,4,100000000
8,5,4,4,100000000
8,6,4,4,100000000
8,7,3,4,100000000
8,8,43,4,100000000
8,9,3,4,100000000
8,1,41,5,100000000
8,2,22,5,100000000
8,3,9,5,100000000
8,4,6,5,100000000
8,5,5,5,100000000
8,6,4,5,100000000
8,7,4,5,100000000
8,8,3,5,100000000
8,9,3,5,100000000
8,1,33,6,100000000
8,2,13,6,100000000
8,3,9,6,100000000
8,4,6,6,100000000
8,5,6,6,100000000
8,6,5,6,100000000
8,7,4,6,100000000
8,8,3,6,100000000
8,9,3,6,100000000
8,1,25,7,100000000
8,2,11,7,100000000
8,3,7,7,100000000
8,4,11,7,100000000
8,5,7,7,100000000
8,6,6,7,100000000
8,7,4,7,100000000
8,8,3,7,100000000
8,9,3,7,100000000
8,1,38,8,100000000
8,2,23,8,100000000
8,3,10,8,100000000
8,4,7,8,100000000
8,5,6,8,100000000
8,6,5,8,100000000
8,7,5,8,100000000
8,8,4,8,100000000
8,9,4,8,100000000
8,1,45,9,100000000
8,2,22,9,100000000
8,3,12,9,100000000
8,4,7,9,100000000
8,5,5,9,100000000
8,6,4,9,100000000
8,7,4,9,100000000
8,8,3,9,100000000
8,9,3,9,100000000
8,1,25,10,100000000
8,2,11,10,100000000
8,3,7,10,100000000
8,4,5,10,100000000
8,5,5,10,100000000
8,6,4,10,100000000
8,7,3,10,100000000
8,8,19,10,100000000
8,9,3,10,100000000
9,1,42,1,100000000
9,2,19,1,100000000
9,3,9,1,100000000
9,4,6,1,100000000
9,5,5,1,100000000
9,6,4,1,100000000
9,7,4,1,100000000
9,8,3,1,100000000
9,9,3,1,100000000
9,10,3,1,100000000
9,1,26,2,100000000
9,2,11,2,100000000
9,3,7,2,100000000
9,4,6,2,100000000
9,5,4,2,100000000
9,6,4,2,100000000
9,7,3,2,100000000
9,8,3,2,100000000
9,9,3,2,100000000
9,10,2,2,100000000
9,1,190,3,100000000
9,2,102,3,100000000
9,3,84,3,100000000
9,4,8,3,100000000
9,5,6,3,100000000
9,6,5,3,100000000
9,7,5,3,100000000
9,8,4,3,100000000
9,9,4,3,100000000
9,10,3,3,100000000
9,1,54,4,100000000
9,2,25,4,100000000
9,3,78,4,100000000
9,4,11,4,100000000
9,5,9,4,100000000
9,6,91,4,100000000
9,7,57,4,100000000
9,8,6,4,100000000
9,9,6,4,100000000
9,10,5,4,100000000
9,1,26,5,100000000
9,2,11,5,100000000
9,3,8,5,100000000
9,4,6,5,100000000
9,5,4,5,100000000
9,6,6,5,100000000
9,7,5,5,100000000
9,8,4,5,100000000
9,9,19,5,100000000
9,10,4,5,100000000
9,1,25,6,100000000
9,2,11,6,100000000
9,3,8,6,100000000
9,4,5,6,100000000
9,5,4,6,100000000
9,6,4,6,100000000
9,7,3,6,100000000
9,8,4,6,100000000
9,9,4,6,100000000
9,10,42,6,100000000
9,1,25,7,100000000
9,2,11,7,100000000
9,3,7,7,100000000
9,4,5,7,100000000
9,5,4,7,100000000
9,6,4,7,100000000
9,7,3,7,100000000
9,8,3,7,100000000
9,9,3,7,100000000
9,10,2,7,100000000
9,1,62,8,100000000
9,2,15,8,100000000
9,3,10,8,100000000
9,4,7,8,100000000
9,5,6,8,100000000
9,6,5,8,100000000
9,7,5,8,100000000
9,8,4,8,100000000
9,9,4,8,100000000
9,10,3,8,100000000
