s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,3.1950670,11, 100000000
radix,1,3.1950670,8, 100000000
quick,2,3.1150110,13, 100000000
radix,2,3.1150110,10, 100000000
quick,3,3.0987770,18, 100000000
radix,3,3.0987770,8, 100000000
quick,4,3.0909820,20, 100000000
radix,4,3.0909820,57, 100000000
quick,5,3.1033180,19, 100000000
radix,5,3.1033180,9, 100000000
quick,6,3.0994220,26, 100000000
radix,6,3.0994220,13, 100000000
quick,7,3.0291080,23, 100000000
radix,7,3.0291080,12, 100000000
quick,8,3.0741890,13, 100000000
radix,8,3.0741890,10, 100000000
quick,9,3.1201050,10, 100000000
radix,9,3.1201050,17, 100000000
quick,10,3.0283870,18, 100000000
radix,10,3.0283870,8, 100000000
quick,11,3.1161770,10, 100000000
radix,11,3.1161770,7, 100000000
quick,12,3.0752630,14, 100000000
radix,12,3.0752630,11, 100000000
quick,13,3.0320010,20, 100000000
radix,13,3.0320010,9, 100000000
quick,14,3.0891520,72, 100000000
radix,14,3.0891520,9, 100000000
quick,15,3.0603380,17, 100000000
radix,15,3.0603380,7, 100000000
quick,16,3.1100210,11, 100000000
radix,16,3.1100210,8, 100000000
quick,17,3.1030080,13, 100000000
radix,17,3.1030080,21, 100000000
quick,18,3.1148510,17, 100000000
radix,18,3.1148510,7, 100000000
quick,19,3.0980390,12, 100000000
radix,19,3.0980390,10, 100000000
quick,20,3.1071240,17, 100000000
radix,20,3.1071240,11, 100000000
quick,21,3.0622040,13, 100000000
radix,21,3.0622040,9, 100000000
quick,22,3.0993090,12, 100000000
radix,22,3.0993090,9, 100000000
quick,23,3.0840930,20, 100000000
radix,23,3.0840930,9, 100000000
quick,24,3.1489850,18, 100000000
radix,24,3.1489850,9, 100000000
quick,25,3.1861310,18, 100000000
radix,25,3.1861310,8, 100000000
quick,26,3.0814310,20, 100000000
radix,26,3.0814310,20, 100000000
quick,27,3.0631640,46, 100000000
radix,27,3.0631640,22, 100000000
quick,28,3.1513290,10, 100000000
radix,28,3.1513290,8, 100000000
quick,29,3.0803840,12, 100000000
radix,29,3.0803840,8, 100000000
quick,30,3.0888500,18, 100000000
radix,30,3.0888500,8, 100000000
quick,31,3.1593420,18, 100000000
radix,31,3.1593420,8, 100000000
quick,32,3.0974900,11, 100000000
radix,32,3.0974900,8, 100000000
quick,33,3.0801780,10, 100000000
radix,33,3.0801780,7, 100000000
quick,34,3.1970400,13, 100000000
radix,34,3.1970400,10, 100000000
quick,35,3.0943790,11, 100000000
radix,35,3.0943790,8, 100000000
quick,36,3.1189990,12, 100000000
radix,36,3.1189990,10, 100000000
quick,37,3.0892740,12, 100000000
radix,37,3.0892740,9, 100000000
quick,38,3.0949600,21, 100000000
radix,38,3.0949600,11, 100000000
quick,39,3.1475260,18, 100000000
radix,39,3.1475260,13, 100000000
quick,40,3.1135980,21, 100000000
radix,40,3.1135980,10, 100000000
quick,41,3.0872090,13, 100000000
radix,41,3.0872090,11, 100000000
quick,42,3.1299640,11, 100000000
radix,42,3.1299640,9, 100000000
quick,43,3.1038630,11, 100000000
radix,43,3.1038630,9, 100000000
quick,44,3.1173080,13, 100000000
radix,44,3.1173080,11, 100000000
quick,45,3.1460400,12, 100000000
radix,45,3.1460400,8, 100000000
quick,46,3.1274000,10, 100000000
radix,46,3.1274000,25, 100000000
quick,47,3.1172560,12, 100000000
radix,47,3.1172560,9, 100000000
quick,48,3.1127860,11, 100000000
radix,48,3.1127860,9, 100000000
quick,49,3.1199670,67, 100000000
radix,49,3.1199670,9, 100000000
quick,50,3.0843420,18, 100000000
radix,50,3.0843420,8, 100000000
quick,51,3.0578900,15, 100000000
radix,51,3.0578900,11, 100000000
quick,52,3.0803860,12, 100000000
radix,52,3.0803860,9, 100000000
quick,53,3.1153030,34, 100000000
radix,53,3.1153030,11, 100000000
quick,54,3.0406570,20, 100000000
radix,54,3.0406570,9, 100000000
quick,55,3.0815630,21, 100000000
radix,55,3.0815630,16, 100000000
quick,56,3.0653810,16, 100000000
radix,56,3.0653810,20, 100000000
quick,57,3.0585020,11, 100000000
radix,57,3.0585020,8, 100000000
quick,58,3.0614800,13, 100000000
radix,58,3.0614800,10, 100000000
quick,59,3.1001400,83, 100000000
radix,59,3.1001400,9, 100000000
quick,60,3.0976540,11, 100000000
radix,60,3.0976540,8, 100000000
quick,61,3.0530590,11, 100000000
radix,61,3.0530590,8, 100000000
quick,62,3.0827890,11, 100000000
radix,62,3.0827890,8, 100000000
quick,63,3.1509330,11, 100000000
